"locationName","deploymentID","observationID","date.start","time.start","eventEnd","observationType","scientificName","count","hour_of_day","commonName"
"SK05","003c9299-5d3c-483d-b403-8986e0d1410a","dca819b0-fa8a-491e-80dc-56a4378ba04c","2023-05-03","02:14:15",2023-05-03 02:14:22,"animal","Felis",1,2.23333333333333,"Domestic Cat"
"SK05","003c9299-5d3c-483d-b403-8986e0d1410a","0cda4b51-413d-437b-b759-b286633875f8","2023-05-03","02:21:10",2023-05-03 02:21:16,"animal","Felis",1,2.35,"Domestic Cat"
"SK09","06455072-5f1c-4f63-9827-9f202136f325","b2e47f81-3d3c-44d7-b307-efb03078ac4c","2023-03-27","02:49:50",2023-03-27 02:49:56,"animal","Mustela",1,2.81666666666667,"Small Mustelid"
"SK09","06455072-5f1c-4f63-9827-9f202136f325","318d7d12-f3d0-420d-945c-b66854eb54d9","2023-03-27","18:48:21",2023-03-27 18:48:26,"animal","Mustela",1,18.8,"Small Mustelid"
"SK09","06455072-5f1c-4f63-9827-9f202136f325","47f9dc4f-b63e-4a62-83a3-a675bd4d0150","2023-03-28","20:01:25",2023-03-28 20:02:01,"animal","Mustela",1,20.0166666666667,"Small Mustelid"
"SK09","06455072-5f1c-4f63-9827-9f202136f325","d97c8d27-5625-490e-81e3-516b1a4b1337","2023-04-02","23:26:56",2023-04-02 23:27:01,"animal","Mustela",1,23.4333333333333,"Small Mustelid"
"SK09","06455072-5f1c-4f63-9827-9f202136f325","d053da08-bc68-47d7-8895-11f461f47969","2023-04-03","03:57:14",2023-04-03 03:57:19,"animal","Mustela erminea",1,3.95,"Stoat"
"SK09","06455072-5f1c-4f63-9827-9f202136f325","3dd8dd8b-2c56-47b7-a72d-6d40593fb313","2023-04-04","00:37:34",2023-04-04 00:38:00,"animal","Mustela erminea",1,0.616666666666667,"Stoat"
"SK09","06455072-5f1c-4f63-9827-9f202136f325","6224cd14-17de-450e-9efa-5f062f126261","2023-04-12","20:02:53",2023-04-12 20:02:58,"animal","Mustela erminea",1,20.0333333333333,"Stoat"
"SK09","06455072-5f1c-4f63-9827-9f202136f325","f126cdf8-9f94-4230-aea8-967cd43c8125","2023-04-13","19:43:19",2023-04-13 19:43:25,"animal","Mustela nivalis",1,19.7166666666667,"Weasel"
"SK09","06455072-5f1c-4f63-9827-9f202136f325","a25c8f2d-539b-4808-b352-56c5c579113c","2023-04-18","22:37:44",2023-04-18 22:37:50,"animal","Felis",1,22.6166666666667,"Domestic Cat"
"SK09","06455072-5f1c-4f63-9827-9f202136f325","37c02425-b8f3-481d-80f6-79ff72db48ca","2023-04-18","22:43:02",2023-04-18 22:43:07,"animal","Felis",1,22.7166666666667,"Domestic Cat"
"SK09","06455072-5f1c-4f63-9827-9f202136f325","3650a183-de5c-423d-bacb-d581a369b76a","2023-04-20","03:09:44",2023-04-20 03:10:37,"animal","Mustela nivalis",1,3.15,"Weasel"
"SK09","06455072-5f1c-4f63-9827-9f202136f325","4005e620-4fd3-4f96-8283-20f1f6b89f54","2023-04-22","20:55:44",2023-04-22 20:55:51,"animal","Mustela nivalis",1,20.9166666666667,"Weasel"
"SK09","06455072-5f1c-4f63-9827-9f202136f325","95a5e2cd-03fd-48e5-8774-70b134fe4db0","2023-04-25","01:57:42",2023-04-25 01:57:48,"animal","Mustela",1,1.95,"Small Mustelid"
"SK24","08f1eae6-97df-4e11-af6d-94054d6fe09c","ed430af6-1b12-44fb-925e-94f56db6267c","2023-03-27","18:36:44",2023-03-27 18:36:49,"animal","Mustela nivalis",1,18.6,"Weasel"
"SK24","08f1eae6-97df-4e11-af6d-94054d6fe09c","9a91daa9-9d10-4e0c-b396-bf6c107e5487","2023-03-27","20:51:36",2023-03-27 20:51:41,"animal","Mustela putorius",1,20.85,"European Polecat"
"SK24","08f1eae6-97df-4e11-af6d-94054d6fe09c","bfb571ec-9901-4d3c-bbce-645999615d28","2023-03-28","04:55:51",2023-03-28 04:55:56,"animal","Mustela erminea",1,4.91666666666667,"Stoat"
"SK24","08f1eae6-97df-4e11-af6d-94054d6fe09c","4e8801fa-801a-45d6-9ad0-68f423c93ba7","2023-03-29","03:43:45",2023-03-29 03:43:50,"animal","Mustela nivalis",1,3.71666666666667,"Weasel"
"SK24","08f1eae6-97df-4e11-af6d-94054d6fe09c","458c7612-e53b-4c77-a003-09f045f7213e","2023-03-29","18:55:52",2023-03-29 18:55:57,"animal","Mustela nivalis",1,18.9166666666667,"Weasel"
"SK24","08f1eae6-97df-4e11-af6d-94054d6fe09c","061231d5-c2e7-49cf-8a0e-fa916e564004","2023-03-30","17:57:05",2023-03-30 17:57:10,"animal","Mustela erminea",1,17.95,"Stoat"
"SK24","08f1eae6-97df-4e11-af6d-94054d6fe09c","53d2cbfa-4af2-4d17-8577-a10c5436e5f4","2023-03-30","23:12:35",2023-03-30 23:12:40,"animal","Mustela putorius",1,23.2,"European Polecat"
"SK24","08f1eae6-97df-4e11-af6d-94054d6fe09c","466a050b-5432-4e3a-b507-1eee4d9e2be6","2023-03-31","00:32:47",2023-03-31 00:32:52,"animal","Mustela nivalis",1,0.533333333333333,"Weasel"
